ANIO,MES,FECHA,FOLIO,CONCESIONARIO,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,S_RESIDENCIAL_E,S_NO_RESIDENCIAL_E,S_TOTAL_E
2016,09,15SEP2016,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,610",103,"1,713"
2016,10,15OCT2016,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,595",92,"1,687"
2016,11,15NOV2016,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,604",92,"1,696"
2016,12,15DEC2016,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,554",92,"1,646"
2017,01,15JAN2017,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,895",116,"2,011"
2017,02,15FEB2017,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,932",123,"2,055"
2017,03,15MAR2017,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,952",128,"2,080"
2017,04,15APR2017,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,994",136,"2,130"
2017,05,15MAY2017,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,970",139,"2,109"
2017,06,15JUN2017,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,957",144,"2,101"
2017,07,15JUL2017,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,898",145,"2,043"
2017,08,15AUG2017,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,989",159,"2,148"
2017,09,15SEP2017,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,985",166,"2,151"
2017,10,15OCT2017,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,993",175,"2,168"
2017,11,15NOV2017,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,968",182,"2,150"
2017,12,15DEC2017,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,899",185,"2,084"
2018,01,15JAN2018,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,828",340,"2,168"
2018,02,15FEB2018,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,756",464,"2,220"
2018,03,15MAR2018,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,692",595,"2,287"
2018,04,15APR2018,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,727",607,"2,334"
2018,05,15MAY2018,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,611",567,"2,178"
2018,06,15JUN2018,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,505",529,"2,034"
2018,07,15JUL2018,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,330",467,"1,797"
2018,08,15AUG2018,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,128",396,"1,524"
2018,09,15SEP2018,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,161",408,"1,569"
2018,10,15OCT2018,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,025",360,"1,385"
2018,11,15NOV2018,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,407",495,"1,902"
2018,12,15DEC2018,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"1,794",630,"2,424"
2019,01,15JAN2019,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"2,077",729,"2,806"
2019,02,15FEB2019,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"2,146",753,"2,899"
2019,03,15MAR2019,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"3,268","1,147","4,415"
2019,04,15APR2019,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"2,504",879,"3,383"
2019,05,15MAY2019,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"2,644",929,"3,573"
2019,06,15JUN2019,100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,C611,ULTRAVISION,"2,640",927,"3,567"
2013,01,15JAN2013,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"5,232",,"5,232"
2013,02,15FEB2013,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"5,159",,"5,159"
2013,03,15MAR2013,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"5,095",,"5,095"
2013,04,15APR2013,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"4,946",,"4,946"
