ANIO,MES,FECHA,K_GRUPO,GRUPO,MARKET_SHARE
2013,08,15AUG2013,G004,GRUPO TELEVISA,12.652%
2013,08,15AUG2013,C020,ALESTRA,0.039%
2013,08,15AUG2013,C639,CABLEVISION RED,0.818%
2013,08,15AUG2013,C010,AIRECABLE,0.006%
2013,08,15AUG2013,G008,MEGACABLE-MCM,6.544%
2013,08,15AUG2013,C611,ULTRAVISION,0.006%
2013,08,15AUG2013,G001,AXTEL,3.981%
2013,09,15SEP2013,G004,GRUPO TELEVISA,12.837%
2013,09,15SEP2013,C639,CABLEVISION RED,0.826%
2013,09,15SEP2013,G006,AMÉRICA MÓVIL,72.381%
2013,09,15SEP2013,C584,TOTALPLAY,0.382%
2013,09,15SEP2013,C010,AIRECABLE,0.006%
2013,09,15SEP2013,C611,ULTRAVISION,0.006%
2013,09,15SEP2013,G001,AXTEL,3.962%
2013,09,15SEP2013,G008,MEGACABLE-MCM,6.635%
2013,09,15SEP2013,C054,AXESAT,0.043%
2013,09,15SEP2013,C599,TV REY,0.038%
2013,09,15SEP2013,C373,MAXCOM,1.252%
2013,09,15SEP2013,C020,ALESTRA,0.038%
2013,09,15SEP2013,C087,CABLECOM,1.593%
2013,10,15OCT2013,C373,MAXCOM,1.245%
2013,10,15OCT2013,C020,ALESTRA,0.038%
2013,10,15OCT2013,G004,GRUPO TELEVISA,13.050%
2013,10,15OCT2013,C010,AIRECABLE,0.006%
2013,10,15OCT2013,G008,MEGACABLE-MCM,6.660%
2013,10,15OCT2013,C639,CABLEVISION RED,0.824%
2013,10,15OCT2013,C599,TV REY,0.040%
2013,10,15OCT2013,C611,ULTRAVISION,0.006%
2013,10,15OCT2013,C584,TOTALPLAY,0.456%
2013,10,15OCT2013,C087,CABLECOM,1.620%
2013,10,15OCT2013,C054,AXESAT,0.043%
2013,10,15OCT2013,G006,AMÉRICA MÓVIL,72.035%
2013,10,15OCT2013,G001,AXTEL,3.978%
2013,11,15NOV2013,C054,AXESAT,0.043%
2013,11,15NOV2013,C611,ULTRAVISION,0.006%
2013,11,15NOV2013,G001,AXTEL,3.993%
2013,11,15NOV2013,G008,MEGACABLE-MCM,6.731%
2013,11,15NOV2013,C639,CABLEVISION RED,0.839%
2013,11,15NOV2013,C373,MAXCOM,1.249%
2013,11,15NOV2013,C087,CABLECOM,1.650%
2013,11,15NOV2013,G004,GRUPO TELEVISA,13.205%
2013,11,15NOV2013,G006,AMÉRICA MÓVIL,71.695%
2013,11,15NOV2013,C010,AIRECABLE,0.006%
2013,11,15NOV2013,C599,TV REY,0.041%
2013,11,15NOV2013,C020,ALESTRA,0.037%
2013,11,15NOV2013,C584,TOTALPLAY,0.503%
2013,12,15DEC2013,G004,GRUPO TELEVISA,13.353%
2013,12,15DEC2013,G006,AMÉRICA MÓVIL,71.389%
2013,12,15DEC2013,C054,AXESAT,0.043%
2013,12,15DEC2013,C020,ALESTRA,0.037%
2013,12,15DEC2013,G008,MEGACABLE-MCM,6.891%
2013,12,15DEC2013,C373,MAXCOM,1.188%
2013,12,15DEC2013,G001,AXTEL,3.989%
2013,12,15DEC2013,C611,ULTRAVISION,0.006%
2013,12,15DEC2013,C639,CABLEVISION RED,0.845%
2013,12,15DEC2013,C584,TOTALPLAY,0.541%
2013,12,15DEC2013,C599,TV REY,0.042%
2013,12,15DEC2013,C087,CABLECOM,1.670%
2013,12,15DEC2013,C010,AIRECABLE,0.006%
2014,01,15JAN2014,C020,ALESTRA,0.034%
2014,01,15JAN2014,G004,GRUPO TELEVISA,13.512%
2014,01,15JAN2014,G006,AMÉRICA MÓVIL,70.871%
2014,01,15JAN2014,C599,TV REY,0.043%
2014,01,15JAN2014,C087,CABLECOM,1.735%
2014,01,15JAN2014,C584,TOTALPLAY,0.596%
2014,01,15JAN2014,G001,AXTEL,3.987%
2014,01,15JAN2014,C010,AIRECABLE,0.007%
2014,01,15JAN2014,C639,CABLEVISION RED,0.854%
2014,01,15JAN2014,C611,ULTRAVISION,0.006%
2014,01,15JAN2014,C054,AXESAT,0.043%
2014,01,15JAN2014,C373,MAXCOM,1.249%
2014,01,15JAN2014,G008,MEGACABLE-MCM,7.063%
2014,02,15FEB2014,G008,MEGACABLE-MCM,7.168%
2014,02,15FEB2014,C639,CABLEVISION RED,0.868%
2014,02,15FEB2014,C010,AIRECABLE,0.007%
2014,02,15FEB2014,G001,AXTEL,3.972%
2014,02,15FEB2014,C087,CABLECOM,1.713%
2014,02,15FEB2014,G006,AMÉRICA MÓVIL,70.662%
2014,02,15FEB2014,C373,MAXCOM,1.255%
2014,02,15FEB2014,C584,TOTALPLAY,0.642%
2014,02,15FEB2014,C020,ALESTRA,0.033%
2014,02,15FEB2014,C054,AXESAT,0.042%
2014,02,15FEB2014,C611,ULTRAVISION,0.006%
2014,02,15FEB2014,G004,GRUPO TELEVISA,13.588%
2014,02,15FEB2014,C599,TV REY,0.044%
2014,03,15MAR2014,G008,MEGACABLE-MCM,7.315%
2014,03,15MAR2014,C373,MAXCOM,1.257%
2014,03,15MAR2014,C087,CABLECOM,1.733%
2014,03,15MAR2014,G001,AXTEL,3.948%
2014,03,15MAR2014,C054,AXESAT,0.042%
2014,03,15MAR2014,C010,AIRECABLE,0.007%
2014,03,15MAR2014,C020,ALESTRA,0.032%
2014,03,15MAR2014,C611,ULTRAVISION,0.007%
2014,03,15MAR2014,C584,TOTALPLAY,0.688%
2014,03,15MAR2014,C639,CABLEVISION RED,0.880%
2014,03,15MAR2014,G006,AMÉRICA MÓVIL,70.414%
2014,03,15MAR2014,C599,TV REY,0.046%
2014,03,15MAR2014,G004,GRUPO TELEVISA,13.632%
2014,04,15APR2014,C373,MAXCOM,1.258%
2014,04,15APR2014,G001,AXTEL,3.935%
2014,04,15APR2014,C054,AXESAT,0.042%
2014,04,15APR2014,G004,GRUPO TELEVISA,13.726%
2014,04,15APR2014,G006,AMÉRICA MÓVIL,70.197%
2014,04,15APR2014,C087,CABLECOM,1.747%
2014,04,15APR2014,C020,ALESTRA,0.032%
2014,04,15APR2014,C010,AIRECABLE,0.007%
2014,04,15APR2014,C639,CABLEVISION RED,0.890%
2014,04,15APR2014,C611,ULTRAVISION,0.007%
2014,04,15APR2014,G008,MEGACABLE-MCM,7.381%
2014,04,15APR2014,C599,TV REY,0.048%
2014,04,15APR2014,C584,TOTALPLAY,0.731%
2014,05,15MAY2014,C584,TOTALPLAY,0.788%
2014,05,15MAY2014,G008,MEGACABLE-MCM,7.534%
2014,05,15MAY2014,C373,MAXCOM,1.262%
2014,05,15MAY2014,C599,TV REY,0.050%
2014,05,15MAY2014,G001,AXTEL,3.922%
2014,05,15MAY2014,C611,ULTRAVISION,0.007%
2014,05,15MAY2014,C639,CABLEVISION RED,0.899%
2014,05,15MAY2014,C054,AXESAT,0.040%
2014,05,15MAY2014,C020,ALESTRA,0.031%
2014,05,15MAY2014,C087,CABLECOM,1.781%
2014,05,15MAY2014,G004,GRUPO TELEVISA,13.869%
2014,05,15MAY2014,G006,AMÉRICA MÓVIL,69.810%
2014,05,15MAY2014,C010,AIRECABLE,0.007%
