FOLIO,CONCESIONARIO,FECHA,ANIO,MES,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,A_TOTAL_E,A_V1_E,A_V2_E,A_V3_E,A_V4_E
100405,"ULTRAVISION, S.A. DE C.V.",15FEB2016,2016,02,C611,ULTRAVISION,C611,ULTRAVISION,"1,530",3,"1,516",11,0
100405,"ULTRAVISION, S.A. DE C.V.",15MAR2016,2016,03,C611,ULTRAVISION,C611,ULTRAVISION,"1,551",3,"1,537",11,0
100405,"ULTRAVISION, S.A. DE C.V.",15APR2016,2016,04,C611,ULTRAVISION,C611,ULTRAVISION,"1,584",3,"1,570",11,0
100405,"ULTRAVISION, S.A. DE C.V.",15MAY2016,2016,05,C611,ULTRAVISION,C611,ULTRAVISION,"1,610",3,"1,595",12,0
100405,"ULTRAVISION, S.A. DE C.V.",15JUN2016,2016,06,C611,ULTRAVISION,C611,ULTRAVISION,"1,664",3,"1,647",14,0
100405,"ULTRAVISION, S.A. DE C.V.",15JUL2016,2016,07,C611,ULTRAVISION,C611,ULTRAVISION,"1,714",0,"1,693",20,1
100405,"ULTRAVISION, S.A. DE C.V.",15AUG2016,2016,08,C611,ULTRAVISION,C611,ULTRAVISION,"1,736",0,"1,714",21,1
100405,"ULTRAVISION, S.A. DE C.V.",15SEP2016,2016,09,C611,ULTRAVISION,C611,ULTRAVISION,"1,713",0,"1,692",20,1
100405,"ULTRAVISION, S.A. DE C.V.",15OCT2016,2016,10,C611,ULTRAVISION,C611,ULTRAVISION,"1,687",0,"1,674",12,1
100405,"ULTRAVISION, S.A. DE C.V.",15NOV2016,2016,11,C611,ULTRAVISION,C611,ULTRAVISION,"1,696",0,"1,683",12,1
100405,"ULTRAVISION, S.A. DE C.V.",15DEC2016,2016,12,C611,ULTRAVISION,C611,ULTRAVISION,"1,646",0,"1,633",12,1
100405,"ULTRAVISION, S.A. DE C.V.",15JAN2017,2017,01,C611,ULTRAVISION,C611,ULTRAVISION,"2,011",,"1,995",15,1
100405,"ULTRAVISION, S.A. DE C.V.",15FEB2017,2017,02,C611,ULTRAVISION,C611,ULTRAVISION,"2,055",,"2,039",15,1
100405,"ULTRAVISION, S.A. DE C.V.",15MAR2017,2017,03,C611,ULTRAVISION,C611,ULTRAVISION,"2,080",,"2,064",15,1
100405,"ULTRAVISION, S.A. DE C.V.",15APR2017,2017,04,C611,ULTRAVISION,C611,ULTRAVISION,"2,130",,"2,113",16,1
100405,"ULTRAVISION, S.A. DE C.V.",15MAY2017,2017,05,C611,ULTRAVISION,C611,ULTRAVISION,"2,109",,"2,092",15,2
100405,"ULTRAVISION, S.A. DE C.V.",15JUN2017,2017,06,C611,ULTRAVISION,C611,ULTRAVISION,"2,101",,"2,084",15,2
100405,"ULTRAVISION, S.A. DE C.V.",15JUL2017,2017,07,C611,ULTRAVISION,C611,ULTRAVISION,"2,043",,"2,027",15,1
100405,"ULTRAVISION, S.A. DE C.V.",15AUG2017,2017,08,C611,ULTRAVISION,C611,ULTRAVISION,"2,148",,"2,131",16,1
100405,"ULTRAVISION, S.A. DE C.V.",15SEP2017,2017,09,C611,ULTRAVISION,C611,ULTRAVISION,"2,151",,"2,134",16,1
100405,"ULTRAVISION, S.A. DE C.V.",15OCT2017,2017,10,C611,ULTRAVISION,C611,ULTRAVISION,"2,168",,"2,151",16,1
100405,"ULTRAVISION, S.A. DE C.V.",15NOV2017,2017,11,C611,ULTRAVISION,C611,ULTRAVISION,"2,150",,"2,133",16,1
100405,"ULTRAVISION, S.A. DE C.V.",15DEC2017,2017,12,C611,ULTRAVISION,C611,ULTRAVISION,"2,084",,"2,068",15,1
100405,"ULTRAVISION, S.A. DE C.V.",15JAN2018,2018,01,C611,ULTRAVISION,C611,ULTRAVISION,"2,168",,"2,151",16,1
100405,"ULTRAVISION, S.A. DE C.V.",15FEB2018,2018,02,C611,ULTRAVISION,C611,ULTRAVISION,"2,220",,"2,203",16,1
100405,"ULTRAVISION, S.A. DE C.V.",15MAR2018,2018,03,C611,ULTRAVISION,C611,ULTRAVISION,"2,287",,"2,269",16,2
100405,"ULTRAVISION, S.A. DE C.V.",15APR2018,2018,04,C611,ULTRAVISION,C611,ULTRAVISION,"2,334",,"2,315",16,3
100405,"ULTRAVISION, S.A. DE C.V.",15MAY2018,2018,05,C611,ULTRAVISION,C611,ULTRAVISION,"2,178",,"2,158",16,4
100405,"ULTRAVISION, S.A. DE C.V.",15JUN2018,2018,06,C611,ULTRAVISION,C611,ULTRAVISION,"2,034",,"2,013",16,5
100405,"ULTRAVISION, S.A. DE C.V.",15JUL2018,2018,07,C611,ULTRAVISION,C611,ULTRAVISION,"1,797",,"1,779",14,4
100405,"ULTRAVISION, S.A. DE C.V.",15AUG2018,2018,08,C611,ULTRAVISION,C611,ULTRAVISION,"1,524",,"1,508",12,4
100405,"ULTRAVISION, S.A. DE C.V.",15SEP2018,2018,09,C611,ULTRAVISION,C611,ULTRAVISION,"1,569",,"1,553",12,4
100405,"ULTRAVISION, S.A. DE C.V.",15OCT2018,2018,10,C611,ULTRAVISION,C611,ULTRAVISION,"1,385",,"1,371",11,3
100405,"ULTRAVISION, S.A. DE C.V.",15NOV2018,2018,11,C611,ULTRAVISION,C611,ULTRAVISION,"1,902",,"1,883",15,4
100405,"ULTRAVISION, S.A. DE C.V.",15DEC2018,2018,12,C611,ULTRAVISION,C611,ULTRAVISION,"2,424",,"2,400",19,5
100405,"ULTRAVISION, S.A. DE C.V.",15JAN2019,2019,01,C611,ULTRAVISION,C611,ULTRAVISION,"2,806",,"2,778",22,6
100405,"ULTRAVISION, S.A. DE C.V.",15FEB2019,2019,02,C611,ULTRAVISION,C611,ULTRAVISION,"2,899",,"2,870",23,6
